,Unnamed: 0,home_team.name,home_team_Shots on Goal,home_team_Shots off Goal,home_team_Total Shots,home_team_Blocked Shots,home_team_Shots insidebox,home_team_Shots outsidebox,home_team_Fouls,home_team_Corner Kicks,home_team_Offsides,home_team_Ball Possession,home_team_Yellow Cards,home_team_Red Cards,home_team_Goalkeeper Saves,home_team_Total passes,home_team_Passes accurate,home_team_Passes %,home_team.Rank,home_team_Avg. age,home_team.Total value,home_team.Points,home_Pl,home_Age,home_Poss,home_MP,home_Starts,home_Min,home_90s,home_Gls,home_Ast,home_G-PK,home_PK,home_PKatt,home_CrdY,home_CrdR,home_Gls.1,home_Ast.1,home_G+A,home_G-PK.1,home_G+A-PK,away_team.name,away_team_Shots on Goal,away_team_Shots off Goal,away_team_Total Shots,away_team_Blocked Shots,away_team_Shots insidebox,away_team_Shots outsidebox,away_team_Fouls,away_team_Corner Kicks,away_team_Offsides,away_team_Ball Possession,away_team_Yellow Cards,away_team_Red Cards,away_team_Goalkeeper Saves,away_team_Total passes,away_team_Passes accurate,away_team_Passes %,away_team.Rank,away_team. age,away_team.Total value,away_team.Points,away_Pl,away_Age,away_Poss,away_MP,away_Starts,away_Min,away_90s,away_Gls,away_Ast,away_G-PK,away_PK,away_PKatt,away_CrdY,away_CrdR,away_Gls.1,away_Ast.1,away_G+A,away_G-PK.1,away_G+A-PK,match_result
20,20,Brazil,10,10,22,2,12,10,11,9,3,71,2,0,0,705,645,91,2,27.7,899500000.0,1823,19.33333333333333,28.23333333333333,56.0,5.666666666666667,62.333333333333336,520.0,5.766666666666667,9.333333333333334,5.333333333333333,9.0,0.3333333333333333,0.3333333333333333,3.0,0.3333333333333333,1.6333333333333335,0.8766666666666666,2.51,1.586666666666667,2.4633333333333334,Costa Rica,0,3,3,0,1,2,11,1,3,29,1,0,7,280,198,71,42,27.2,21380000.0,1464,19.0,28.35,41.05,4.0,44.0,390.0,4.35,3.0,2.5,3.0,0.0,0.5,5.5,0.5,0.605,0.52,1.13,0.605,1.13,1
21,21,Switzerland,3,6,13,4,8,5,9,6,1,62,3,0,5,565,489,87,14,27.6,247400000.0,1643,17.666666666666668,26.73333333333333,53.3,3.6666666666666665,40.333333333333336,340.0,3.766666666666667,4.333333333333333,3.333333333333333,4.333333333333333,0.0,0.0,5.666666666666667,0.0,1.0666666666666669,0.7933333333333333,1.86,1.0666666666666669,1.86,Costa Rica,6,6,14,2,9,6,14,5,1,38,3,0,1,341,268,79,42,27.2,21380000.0,1464,19.0,28.35,41.05,4.0,44.0,390.0,4.35,3.0,2.5,3.0,0.0,0.5,5.5,0.5,0.605,0.52,1.13,0.605,1.13,0
22,22,England,7,2,11,2,7,4,13,3,3,59,1,0,1,594,547,92,5,25.2,1260000000.0,1756,20.33333333333333,27.03333333333333,54.35,4.666666666666667,51.333333333333336,440.0,4.9,5.666666666666667,2.6666666666666665,4.666666666666667,1.0,1.0,3.333333333333333,0.0,0.9966666666666668,0.4833333333333334,1.4766666666666666,0.8633333333333333,1.346666666666667,Panama,2,5,8,1,4,4,13,2,0,41,3,0,1,393,348,89,63,27.7,16350000.0,1376,20.0,28.3,36.0,3.0,33.0,270.0,3.0,1.0,1.0,1.0,0.0,0.0,11.0,0.0,0.33,0.33,0.67,0.33,0.67,1
23,23,Belgium,6,7,15,2,10,5,17,9,1,61,3,0,2,568,485,85,1,26.1,381000000.0,1828,20.5,26.65,52.75,6.0,66.0,555.0,6.15,10.5,8.0,10.0,0.5,0.5,1.5,0.0,1.635,1.23,2.865,1.565,2.79,Panama,2,4,7,1,3,4,18,3,2,39,5,0,3,354,283,80,63,27.7,16350000.0,1376,20.0,28.3,36.0,3.0,33.0,270.0,3.0,1.0,1.0,1.0,0.0,0.0,11.0,0.0,0.33,0.33,0.67,0.33,0.67,1
24,24,Russia,7,3,14,4,11,3,22,6,3,38,1,0,0,345,251,73,35,26.9,121300000.0,1493,17.5,28.450000000000003,43.45,4.0,44.0,390.0,4.35,6.0,5.0,5.5,0.5,0.5,4.0,0.5,1.215,1.04,2.255,1.13,2.165,Saudi Arabia,0,3,6,3,4,2,10,2,1,62,1,0,2,557,451,81,53,26.8,28800000.0,1434,20.0,28.1,59.0,3.0,33.0,270.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.67,0.33,1.0,0.33,0.67,1
25,25,Uruguay,3,6,13,4,9,4,10,3,1,47,0,0,2,502,426,85,16,27.6,388600000.0,1614,20.0,27.23333333333333,46.2,5.333333333333333,58.66666666666666,490.0,5.433333333333334,7.0,2.0,6.333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.2333333333333334,0.4333333333333333,1.6666666666666667,1.1033333333333333,1.5366666666666668,Saudi Arabia,2,4,8,2,3,5,13,4,2,53,0,0,2,550,478,87,53,26.8,28800000.0,1434,20.0,28.1,59.0,3.0,33.0,270.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.67,0.33,1.0,0.33,0.67,1
26,26,Russia,3,6,11,2,5,7,11,7,0,49,1,0,0,422,304,72,35,26.9,121300000.0,1493,17.5,28.450000000000003,43.45,4.0,44.0,390.0,4.35,6.0,5.0,5.5,0.5,0.5,4.0,0.5,1.215,1.04,2.255,1.13,2.165,Egypt,1,8,13,4,7,6,10,4,0,51,1,0,1,443,347,78,34,27.6,152900000.0,1497,16.0,28.9,43.3,3.0,33.0,270.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,0.0,0.67,0.33,1.0,0.33,0.67,1
27,27,Saudi Arabia,8,10,23,5,11,12,7,7,1,64,0,0,0,647,582,90,53,26.8,28800000.0,1434,20.0,28.1,59.0,3.0,33.0,270.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.67,0.33,1.0,0.33,0.67,Egypt,1,5,7,1,3,4,16,2,3,36,2,0,6,362,289,80,34,27.6,152900000.0,1497,16.0,28.9,43.3,3.0,33.0,270.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,0.0,0.67,0.33,1.0,0.33,0.67,1
28,28,Denmark,2,1,5,2,1,4,10,4,1,32,1,0,3,322,228,71,9,26.5,302500000.0,1655,19.5,27.65,43.8,3.5,38.5,330.0,3.65,3.0,1.5,3.0,0.0,0.0,5.5,0.0,0.845,0.345,1.19,0.845,1.19,France,3,7,11,1,4,7,10,2,1,68,0,0,2,657,574,87,3,26.9,949000000.0,1786,19.666666666666668,26.4,50.8,5.0,55.0,450.0,5.0,7.0,4.0,5.666666666666667,1.3333333333333333,1.6666666666666667,3.0,0.3333333333333333,1.2133333333333334,0.6866666666666666,1.9,1.0066666666666666,1.6900000000000002,0
29,29,Uruguay,4,6,11,1,6,5,17,4,0,38,2,0,0,311,199,64,16,27.6,388600000.0,1614,20.0,27.23333333333333,46.2,5.333333333333333,58.66666666666666,490.0,5.433333333333334,7.0,2.0,6.333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.2333333333333334,0.4333333333333333,1.6666666666666667,1.1033333333333333,1.5366666666666668,France,2,8,11,1,3,8,15,3,0,62,2,0,4,516,417,81,3,26.9,949000000.0,1786,19.666666666666668,26.4,50.8,5.0,55.0,450.0,5.0,7.0,4.0,5.666666666666667,1.3333333333333333,1.6666666666666667,3.0,0.3333333333333333,1.2133333333333334,0.6866666666666666,1.9,1.0066666666666666,1.6900000000000002,2
